Year,ID,Name,InnerIndex,HC01_VC03
2010,0,"Montgomery, Virginia",469.2853111451219,34369
2010,1,"Powhatan, Virginia",298.45756641600923,8637
2010,2,"Rockbridge, Virginia",120.19256966049723,9372
2010,3,"Henrico, Virginia",592.3850258115232,121767
2010,4,"Manassas Park (city), Virginia",26.105990572263686,4206
2010,5,"Dickenson, Virginia",70.45487068936427,6170
2010,6,"Northumberland, Virginia",96.55712280177003,5478
2010,7,"Fairfax, Virginia",1370.0715754959208,381768
2010,8,"Halifax, Virginia",143.1044783317928,14650
2010,9,"Fluvanna, Virginia",157.73023344792057,9128
2010,10,"Augusta, Virginia",462.19076901926354,27909
2010,11,"Stafford, Virginia",1777.5998237334923,40183
2010,12,"Loudoun, Virginia",877.404327270377,95330
2010,13,"Wise, Virginia",735.9641187955699,15750
2010,14,"Mathews, Virginia",63.86215115279562,3773
2010,15,"Buchanan, Virginia",150.3857965372593,9123
2010,16,"Waynesboro (city), Virginia",19.37847196378483,8546
2010,17,"Albemarle, Virginia",96.17061112546361,37459
2010,18,"Grayson, Virginia",198.20659166672277,6858
2010,19,"Nelson, Virginia",286.07806834759407,6534
2010,20,"Lexington (city), Virginia",19.17478119359857,2108
2010,21,"Russell, Virginia",533.9206176244744,11529
2010,22,"Southampton, Virginia",646.0541987130473,6571
2010,23,"Westmoreland, Virginia",115.20170522170375,7135
2010,24,"Patrick, Virginia",94.2576803490761,7344
2010,25,"Franklin, Virginia",451.49307820989804,23355
2010,26,"Lee, Virginia",69.37579136269237,9836
2010,27,"Campbell, Virginia",80.42764282610658,22005
2010,28,"Scott, Virginia",711.5256139731248,9610
2010,29,"Dinwiddie, Virginia",173.11165480744037,9800
2010,30,"Carroll, Virginia",464.10088987605513,12818
2010,31,"Accomack, Virginia",105.65312522067686,14085
2010,32,"Northampton, Virginia",26.346110038778768,5088
2010,33,"Lunenburg, Virginia",63.0654064250715,4515
2010,34,"Lancaster, Virginia",44.853410203657994,5421
2010,35,"Buckingham, Virginia",196.9716453803722,4859
2010,36,"Henry, Virginia",260.73387891376035,22909
2010,37,"Culpeper, Virginia",248.76428745057342,15834
2010,38,"Winchester (city), Virginia",324.4835177631277,10221
2010,39,"Orange, Virginia",436.336049238459,12669
2010,40,"Chesterfield, Virginia",1998.0407936309905,112404
2010,41,"Fauquier, Virginia",426.938572454636,22369
2010,42,"Rockingham, Virginia",303.17702686586154,29701
2010,43,"Amelia, Virginia",48.59206983583425,4901
2010,44,"Mecklenburg, Virginia",538.7067347016035,12594
2010,45,"Washington, Virginia",187.70105655907477,22711
2010,46,"Wythe, Virginia",457.8950469586232,11665
2010,47,"Louisa, Virginia",262.38218884643265,13253
2010,48,"Shenandoah, Virginia",168.17252540370785,17316
2010,49,"Smyth, Virginia",523.4954685290962,12992
2010,50,"Richmond, Virginia",1204.249005410404,3007
2010,51,"Greensville, Virginia",59.78747704078616,3385
2010,52,"Charles City, Virginia",5.1285213955711395,2713
2010,53,"Radford (city), Virginia",33.79186728926406,5667
2010,54,"Cumberland, Virginia",119.08780436765487,3969
2010,55,"Warren, Virginia",185.10695418897177,14160
2010,56,"Brunswick, Virginia",54.08535805310785,6086
2010,57,"Page, Virginia",313.37276097143723,9629
2010,58,"Charlotte, Virginia",27.364577884890135,4415
2010,59,"Highland, Virginia",2.9169965761720427,1130
2010,60,"Giles, Virginia",68.83069263932646,7100
2010,61,"New Kent, Virginia",139.915817266471,6513
2010,62,"Pulaski, Virginia",189.07478018227377,14898
2010,63,"Caroline, Virginia",341.2391814557854,10270
2010,64,"Virginia Beach (city), Virginia",734.1592482872926,163944
2010,65,"Bedford, Virginia",126.09081138847291,27150
2010,66,"Pittsylvania, Virginia",195.5652963093232,26563
2010,67,"Prince William, Virginia",1610.0129738707067,124879
2010,68,"Botetourt, Virginia",75.52842933008479,12918
2010,69,"Isle of Wight, Virginia",98.21371753923603,13553
2010,70,"Goochland, Virginia",84.86428534737773,6831
2010,71,"Frederick, Virginia",1402.0048427086913,28558
2010,72,"Bland, Virginia",30.42244778768574,2580
2010,73,"Hanover, Virginia",414.69826497366273,36114
2010,74,"Chesapeake (city), Virginia",396.9495066537457,78778
