Type,x value,Weight
0,-1.394733797827989,80485
0,-0.6169794904524337,21276
0,-2.31488586947195,22217
0,-0.22715040383602425,296169
0,0.11748559383357726,13195
0,-0.2851409737793793,15826
0,-0.3358634543598317,12419
0,0.3987791778023434,1040341
0,-1.053565868500828,35834
0,0.6773260033538855,24257
0,-0.2889355069146408,69253
0,-1.9286389754095745,120770
0,0.9953660382830565,290784
0,-0.9612128158945898,39087
0,-1.4613869228185623,8929
0,-0.8546514741208002,23650
0,-0.6594935768829765,20607
0,-1.0583636145096793,91916
0,-1.0620638617146037,15607
0,-0.7175984927865966,14917
0,-0.7003619457888327,4480
0,-0.7842808258270978,28842
0,-1.1729273108167155,16976
0,0.45149594818161687,17237
0,-0.9794618223513566,18373
0,-1.033730148046958,53674
0,-2.1148034630353285,24673
0,-5.647401682389143,53879
0,-0.6825307445640654,22735
0,-0.9582287790111496,26523
0,-2.0617183348789263,29593
0,1.197014842926058,33675
0,-0.6529994323783411,12364
0,-0.15862531516266887,11900
0,0.06744291662838225,11150
0,0.9590204509744322,9775
0,-1.769026858975157,54317
0,-1.7574965634291382,43914
0,-0.9904993752880806,24787
0,-0.9290815130400608,31953
0,-0.9405974244074702,304352
0,-1.4416325915689496,64047
0,-0.8918085105930562,72672
0,-0.6814498797845718,12301
0,-0.8082684452722662,31209
0,-1.365167839023294,52863
0,-0.5839660199147305,28743
0,-0.49411617922801393,32248
0,-0.3913865520445553,41365
0,-0.17055896866129258,31361
0,-0.7024039808543525,7754
0,0.6127924040966498,9934
0,-1.0002779162087785,7205
0,-0.775136182475873,12591
0,0.7374528773100262,9845
0,-1.0742265151637258,36559
0,0.7707246389690752,14977
0,4.653127755655864,23890
0,-2.2625888197136272,12562
0,2.6711399210556612,2395
0,-1.1399984572601236,16973
0,-0.5342509137522116,16916
0,-3.136010738270096,33849
0,-2.3639054909857338,27261
0,-0.4424195387605529,426379
0,-0.22908841159683505,67569
0,-0.7791397094496991,62148
0,-2.627845353030481,374441
0,-1.110831301933808,32144
0,1.094217443462041,34609
0,0.3572896856806428,15932
0,-2.3066560508288427,74537
0,0.06288373650537632,6308
0,0.9205979075380444,97093
0,-0.8488577951094628,215277
0,0.07436180443015204,10742
0,-2.2825538066141373,10868
0,-1.075028285989846,13342
0,-0.1540894616404663,10597
0,1.5157701478005232,4733
0,-0.5542240712716283,194129
0,-0.332801697651059,15275
0,3.9116740972069426,17767
0,1.0,5989
0,1.255379490610165,44058
0,-0.7973263189397362,38381
0,-1.933573712325801,5044
0,-1.0719449744701488,15967
0,-1.3294367615144316,36117
0,-0.8243432569239064,223635
0,-0.7430278445257147,81489
0,0.5094564235401493,13801
0,-0.5998341590500684,31753
0,0.032905601301541645,7039
0,0.4256177403954041,11465
0,0.4965532899523656,7376
0,3.6081650957818727,6471
0,-1.2467252193164682,13323
0,0.5175369515660939,63399
0,-0.6089455691334167,41686
0,-0.6198361100294709,29928
0,-0.03090534595819254,38267
0,-0.7617146011212683,20857
0,-0.7842033658983564,89742
0,-1.1849808882932646,14572
0,-0.7894896208937274,92964
0,-0.5444032006416215,172810
0,-0.8886691492027262,119269
0,0.02706756703311239,22705
0,-0.8417713719450195,21806
0,-1.6072021125820772,17263
0,-0.08540481094000243,8524
0,-4.480707730711274,15020
0,-3.51309076840308,132259
0,1.0,3820
0,-0.9059110809034527,65378
0,-0.23934909227398787,62575
0,0.15494434324282577,5678
0,-0.6654600896833511,12089
0,-0.7313682672661229,22349
0,-0.7933470417969507,6556
0,-0.8016479994701252,17400
0,1.624434037423713,35764
0,-1.8736543559837768,13822
0,-0.8983723808155999,7127
0,-1.556920513766797,44053
0,-1.4971224187058456,30503
0,0.943769084325108,50634
0,-1.1839967040955095,67637
0,-0.7213748403236633,42647
0,-0.612149329752555,11856
0,-1.3824058576157912,73949
0,-1.3191900636393283,60960
0,-0.7727392456110546,24779
0,-0.30755025769596295,30875
0,-9.402551075746937,13402
0,-2.9734559878402167,22229
0,-0.8013075052357904,26703
0,2.118457364845684,84868
0,0.19343668591910643,85888
0,-0.8971522287740076,54626
0,-1.2717615263418947,190213
0,-0.7810303445901623,93454
0,7.0532724331721335,23599
0,-1.9162494221906152,32496
0,-0.8389158273945587,17300
0,-1.015730779972067,7666
0,-0.869874327179268,15962
0,-3.0975594088680385,7578
0,-6.498948130606601,28701
0,-0.8439392858162553,16193
0,-1.492848100737906,26808
0,-0.6711106725353404,27255
0,-1.2223789577255564,55003
0,-0.9358728049376506,8325
0,1.3332265166914223,9050
0,-1.657817719579832,26475
0,-0.9279305164381674,13845
0,0.6465500343877247,22492
0,-0.6165290779970588,9271
0,-0.954394797137542,23984
0,-0.296077272118654,15007
0,-1.156460488522215,16697
0,-1.41690657647691,5833
0,-0.575885621426339,26117
0,-0.8028909204241855,23002
0,-0.9522754272477213,42870
0,1.7731902905729433,99414
0,-0.45475695700770585,34605
0,-1.4947138633749422,7303
0,-1.5003553862729953,12543
0,0.4138184021601576,10504
0,2.291839704035514,5753
0,-0.26409300260821794,9250
0,-1.4121259717650105,15661
0,1.6817810659316923,21789
0,0.7956117275214395,8035
0,-0.7965001838128817,357516
0,4.290838767950929,535515
0,-0.6944704488410292,63872
0,3.602908604005719,53909
0,-0.8122152479009752,202221
0,-1.1004359799000074,127503
0,-2.8438781051746536,768322
0,-0.8353641761486391,44827
0,-1.1147611208644417,137150
0,0.41028458239296317,1186796
0,-0.9924846937364026,204573
0,-0.9260408474151802,392650
0,-0.8534519113776277,167501
0,-1.9884998859594336,48241
0,0.695719902660655,42711
0,-0.9117232943101419,609439
0,-2.813076046483848,141298
0,-0.7164413395396912,309320
0,-0.7100726682653753,68372
0,-0.6020615305087053,36836
0,0.01930258058845291,281570
0,0.516307663460385,40819
0,7.052411004653646,420626
0,0.25475932129686735,77823
0,-0.5537833665021451,475836
0,-0.8480675213664236,178041
0,4.566001685224442,41227
0,3.6144351241730814,36225
0,-1.1968979564049782,496821
0,1.001484848091419,41072
0,-0.6221944782842456,5370
0,5.445521229453795,96923
0,1.903965868855569,164476
0,-1.021064100504961,38330
0,-3.1384239050782514,334590
0,-0.6879360469491241,83797
0,10.124972334993739,216753
0,2.5186128903343974,61768
0,-1.3588358976537371,49528
0,-0.7539065031140791,132606
0,-1.5668504866504647,46171
0,-1.6677477928034297,109836
0,-1.2205131449541446,111689
0,-1.0616588995545666,45076
0,-1.4396007281890169,123571
0,-0.5269416477884538,36213
0,0.0839714900207092,89281
0,-1.1940195652985914,40220
0,3.529543959591481,143173
0,-0.26459106493802753,134320
0,-1.0167385587006075,62398
0,-0.8442217090492421,74603
0,-1.6445554726513583,266403
0,-0.8536785153698104,260537
0,1.0644273336595718,32036
0,1.955598451796419,6099
0,0.6004934157303791,90811
0,-0.725093686793437,27728
0,-0.4498955345755718,5124
0,-2.2295767134503657,85853
0,-0.6459363098757661,34990
0,0.03355327289711897,17355
0,-1.0960104255033625,24306
0,-1.147059105778271,14839
0,2.767491579154758,17273
0,1.0964075073835617,56611
0,-0.9286590395273202,1454290
0,-0.8028979434397338,75718
0,2.4410742809012884,34447
0,-1.1870499291437546,27805
0,-0.7813648497333123,289508
0,2.7123754754802656,116589
0,2.55381951518804,435577
0,-0.8658026345060417,75842
0,-0.9804689219725302,84524
0,-0.923526836917146,1265067
0,-0.9025543532604186,784515
0,0.30111080379006455,45133
0,-0.19282597055926548,37239
0,-1.0086186005359126,193679
0,-0.4808301384968814,28692
0,-1.0269679885952716,56833
0,-2.392393615841197,55182
0,-0.05953533507867622,72734
0,3.903874140593428,35707
0,-0.623567466419305,65572
0,0.2160647448573207,32984
0,1.2034434639052711,23649
0,0.9293807111908893,28504
0,-1.2342092006231482,47752
0,0.3425429347400468,59102
0,0.2893797114581988,118907
0,-0.5381976060024167,523431
0,-1.1499802041039777,348796
0,0.378314445693559,367326
0,-0.16901652397697908,111965
0,1.9848877391622017,50409
0,1.2461696138670213,91425
0,-0.05152580082575791,38452
0,-0.9916989892867347,98683
0,-1.3993334453871507,44250
0,2.0786766707735564,1118712
0,-0.9610927799137219,34286
0,-0.8764302846879342,50051
0,1.5766577865101776,535339
0,0.8676103555416022,36836
0,-1.3945589993576477,37368
0,0.6806161873821286,60452
0,0.8598466928414861,235361
0,-0.6714577627685798,201169
0,-0.6486178018685919,11895
0,-1.4552218923610334,19561
0,2.3209553737258974,54427
0,-1.7110718362698847,15662
0,-1.6509154372774035,160119
0,-0.810643906078036,61529
0,-0.540549468581035,141535
0,0.20222425785111472,226664
0,1.298071601499214,60392
0,-1.561854487095997,29923
0,1.8249749809414946,168976
0,-0.5000291224782073,41500
0,-1.0397639372111716,104447
0,-0.8537623723991662,102350
0,-1.1350513151756159,42382
0,-1.0871802576120635,208878
0,-0.559584781135383,39716
0,0.17517108517192007,70763
0,-1.2022539715356373,150309
0,13.799264902212627,41227
0,-0.8737090330935733,48678
0,0.6220508611711899,40075
0,-1.606274752456701,40631
0,0.1960144361349986,152176
0,-0.7028222812669185,41211
0,1.5065945176586142,42011
0,-0.08427334673963782,28252
0,-2.921099116384163,28109
0,2.930696580910731,52316
0,-5.108208788411047,43716
0,-0.4491797160155833,14571
0,-0.13735206911346964,22389
0,-0.9496110790439057,67390
0,-0.5096568643692845,163193
0,0.32725326540400146,91882
0,-0.027986190761938114,28356
0,-0.6430455502319056,136356
0,-0.6458350704481977,13353
0,1.503921303906632,101053
0,4.8755334362528595,29856
0,-0.8114659452208849,43157
0,-0.4038836451909975,60862
0,-0.8394872307781124,28545
0,-0.24429773198513768,45300
0,-3.387044935916548,15103
0,-0.8527751262678058,20405
0,-0.9116189729557642,715629
0,0.9729831566405769,28486
0,-0.6814570309643361,19473
0,9.652634004885554,33518
0,23.200849780523786,23300
0,-1.0972256435277603,38597
0,-0.06268181554148643,11329
0,-1.3098548351793382,53776
0,14.546415169034825,13845
0,-0.8352591124994125,43075
0,-1.0802621780137014,34416
0,-2.870134474645484,46508
0,-1.1050766938576275,155997
0,-0.06926121250394726,61441
0,5.5040954549520995,14471
0,-1.072890436421652,30040
0,1.0012336905267112,10929
0,-5.931119090510991,114026
0,-0.9581160157378176,64406
0,5.184598718251268,28897
0,-1.648290814716818,14005
0,-0.9193098663085427,10151
0,0.4479706962968983,11995
0,-0.9688894042178253,96627
0,-0.7896130878454154,29378
0,-1.849849896110454,36250
0,1.4357157890379566,12440
0,1.0535992351935126,41530
0,-1.4788706898455246,15667
0,-0.5809509076348462,13428
0,-1.949092381302168,11395
0,0.20874194557262818,9950
0,-0.3329248206133287,14186
0,-1.318964813934355,12232
0,-0.3169625779854493,24237
0,-1.0913843154624787,8225
0,-0.6289830714966841,18541
0,0.31761029860357143,23382
0,-1.372159532611802,35105
0,-0.903187969039204,7234
0,-0.5168323532375729,13915
0,-2.3806259212378635,104240
0,-0.6011050093736521,16833
0,0.520745008477076,27634
0,-1.1097923611242055,30731
0,-1.3843661972403374,67236
0,0.5100905912930185,10583
0,-0.42929655300237163,8479
0,-1.4301945445581667,24527
0,-0.4448369382391008,13547
0,5.069003211482609,15664
0,0.3304473894135619,45011
0,-3.6056218311997497,84982
0,-0.9438660755785477,46747
0,-0.7000810612250239,5038
0,0.894313300357143,17550
0,-1.8665592419064023,17830
0,0.8975643541227809,18113
0,-0.9210461958748135,14117
0,0.035969217661576236,30992
0,-0.55531055704867,6606
0,-0.2746918547094185,11506
0,-7.048650260959048,10918
0,-1.114169121504754,26709
0,-0.8040232944723755,276491
0,-3.281961480888565,6353
0,-0.5124280075068538,19563
0,-0.13094600055821554,15239
0,-1.1399126590024893,75357
0,0.8665327355961174,4785
0,1.626085614853011,92060
0,-0.3487982526946847,22962
0,0.5533107639665815,13218
0,-1.1849516562517333,14599
0,2.033536452659933,25607
0,-0.24122524338586715,25571
0,-1.1473350883438482,8182
0,0.9580008376768554,13772
0,-0.09839009971045223,45439
0,5.257399268324943,12866
0,1.8029755668152176,6983
0,3.664407604077243,16713
0,-1.749072927531406,21209
0,-1.0429913259348074,24459
0,-12.12904024367155,9387
0,0.8984714953378049,41103
0,-0.8572704617844709,8483
0,-2.099151328382604,9183
0,-0.825347191633364,47071
0,-0.3612605659757162,16543
0,-0.845232233585672,36459
0,-0.0737637747628749,6498
0,-1.2270404681458043,57367
0,-0.2034655773159102,24611
0,-2.092746903599126,20897
0,1.2010461370903975,16419
0,-0.5824955851549989,9463
0,0.11760511774016949,20636
0,0.6914738013863939,72124
0,3.0018559231577333,25723
0,-2.3668353934739903,64028
0,1.3681236660632543,17445
0,-2.351866291615491,16830
0,-0.7630139844650173,39324
0,2.2749589217423565,12597
0,-0.7279348278540115,16445
0,-0.9918236363053928,25306
0,-1.2643446037616655,6468
0,0.344778403291336,20899
0,-1.9508310205477541,11530
0,-4.259827635549709,19274
0,7.387075665852638,8807
0,-0.6742945524141767,15925
0,-3.2930115854475925,2278
0,-1.0920004779412886,12858
0,-1.1883002492959425,6860
0,-0.39851686936647657,4547
0,-0.11833160375983459,6865
1,0.1701825217816397,80485
1,0.622270239879976,21276
1,0.3208458926846378,22217
1,0.44207459163356827,296169
1,-0.8964110933224613,13195
1,-0.200435426714596,15826
1,0.006189788154059526,12419
1,-0.9097145719221214,1040341
1,-0.5082700945018126,35834
1,0.4710166855454903,24257
1,0.8547247952995273,69253
1,-0.5953860024945146,120770
1,-1.0420623177108557,290784
1,-0.5822934632096926,39087
1,1.147505183485569,8929
1,-0.12192928242264267,23650
1,-0.19600032617005486,20607
1,-1.058320300746769,91916
1,2.066540895697052,15607
1,-2.2478690944603463,14917
1,-1.5477616057566248,4480
1,-0.9519084892554126,28842
1,-0.6264616606172144,16976
1,-0.023496820029506364,17237
1,1.1088587587561893,18373
1,2.993911019748815,53674
1,0.03282365853160085,24673
1,0.35381855928348716,53879
1,-0.3145548636786194,22735
1,1.5867995799830734,26523
1,-0.05097465495510503,29593
1,-0.5160187526858868,33675
1,-0.9829597376679502,12364
1,-3.081855201942808,11900
